Id,SalePrice
1461,121019.57402281345
1462,144662.2807112806
1463,182400.54801333198
1464,182950.12291076197
1465,185733.3451621236
1466,189996.1877590233
1467,168413.48847650748
1468,180083.21873917832
1469,170181.61842298726
1470,129518.68986817215
1471,184842.71458758356
1472,106336.30381625137
1473,112227.15454476648
1474,152889.12706420766
1475,133761.1829003421
1476,342780.64659736183
1477,242993.18663779547
1478,331425.9445098021
1479,315161.1396343761
1480,342999.623877415
1481,317399.30255571596
1482,203363.3417064807
1483,180651.173747541
1484,182208.12520070834
1485,183325.1587425053
1486,209882.57140707766
1487,339027.39587310195
1488,218238.38666057296
1489,186907.62123651628
1490,229351.6825966479
1491,207567.77279849027
1492,110144.51005773043
1493,181000.38192694075
1494,283867.0066985458
1495,272338.23494619457
1496,224820.90240748168
1497,188070.52143523187
1498,166954.80921863858
1499,175568.48775208264
1500,170521.0308482409
1501,168758.87054109122
1502,164915.71510347878
1503,260738.71005617478
1504,247037.69571592912
1505,212945.26639128377
1506,182754.59059368478
1507,229430.67920801166
1508,196258.53559612052
1509,159588.7136787056
1510,151734.08050440703
1511,146983.2144012237
1512,181396.60934787212
1513,149495.6897568535
1514,112679.07678860052
1515,179928.0200597769
1516,139930.33977758134
1517,148397.85406422763
1518,146682.0901211764
1519,203919.6184824014
1520,129660.42118911789
1521,124941.15307649315
1522,153854.87189675338
1523,109201.12565367392
1524,106485.9904631622
1525,108683.06663261667
1526,108652.55280331279
1527,117798.2505561644
1528,131230.99307992184
1529,136917.6964851574
1530,159153.9769922587
1531,108192.75353736765
1532,112679.07678860052
1533,135004.73143317582
1534,114325.80509894968
1535,147535.96993619905
1536,107001.69332991914
1537,109025.51939432377
1538,157561.73869411275
1539,198569.99856103258
1540,112679.07678860052
1541,135546.71630197595
1542,136646.27579844164
1543,157808.91608949917
1544,109118.74491684875
1545,106313.44353884675
1546,126692.89393066536
1547,127315.95520588632
1548,108006.98439983607
1549,126926.91751182251
1550,127441.27427424534
1551,111048.90018572283
1552,125885.1230784514
1553,112679.07678860052
1554,109832.77285455336
1555,164644.97914300289
1556,110905.42697863454
1557,112679.07678860052
1558,108975.90056018085
1559,112679.07678860052
1560,135275.88116233502
1561,112679.07678860052
1562,131244.54535443618
1563,115545.46195555555
1564,148852.00810114818
1565,147022.11619561855
1566,174078.14263013803
1567,108502.4078017231
1568,228673.28819943927
1569,124245.22626489114
1570,143306.46322423776
1571,115414.58689557707
1572,134790.05581907168
1573,165176.44399551398
1574,144410.03475343544
1575,174504.33163809014
1576,231196.73799168147
1577,184125.68432772427
1578,137585.12889014793
1579,151503.69472624492
1580,191905.00097649175
1581,159033.9784013395
1582,128528.73014973315
1583,281040.6666209327
1584,243607.2298748135
1585,161210.7907745427
1586,108736.63360786591
1587,108735.59109053537
1588,133041.16951513934
1589,106809.9044658321
1590,128851.22385232651
1591,112679.07678860052
1592,118029.34985898792
1593,109290.20411522442
